CreditScore,Income,Employed,Decision
750,50000,1,Approved
600,20000,0,Rejected
710,30000,1,Approved
580,40000,1,Rejected
680,45000,1,Approved
720,52000,1,Approved
640,25000,0,Rejected
590,22000,0,Rejected
705,48000,1,Approved
760,70000,1,Approved
610,28000,1,Rejected
630,30000,0,Rejected
770,85000,1,Approved
650,35000,1,Approved
575,18000,0,Rejected
690,42000,1,Approved
555,25000,0,Rejected
740,61000,1,Approved
620,29000,1,Rejected
780,90000,1,Approved
700,52000,1,Approved
565,21000,0,Rejected
725,58000,1,Approved
675,33000,1,Approved
600,24000,0,Rejected
